properties{
  x = 0,
  y = 0,
  width = 320,
  height = 480,
  min_layer = 0,
  max_layer = 2,
  tileset = "1",
}

tile{
  layer = 0,
  x = 0,
  y = 240,
  width = 320,
  height = 32,
  pattern = "444",
}

tile{
  layer = 0,
  x = 0,
  y = 272,
  width = 320,
  height = 16,
  pattern = "177",
}

tile{
  layer = 0,
  x = 0,
  y = 200,
  width = 128,
  height = 8,
  pattern = "194",
}

tile{
  layer = 0,
  x = 0,
  y = 208,
  width = 320,
  height = 32,
  pattern = "444",
}

tile{
  layer = 0,
  x = 152,
  y = 208,
  width = 32,
  height = 8,
  pattern = "464",
}

tile{
  layer = 0,
  x = 208,
  y = 136,
  width = 112,
  height = 40,
  pattern = "9",
}

tile{
  layer = 0,
  x = 72,
  y = 0,
  width = 16,
  height = 80,
  pattern = "9",
}

tile{
  layer = 0,
  x = 72,
  y = 56,
  width = 16,
  height = 16,
  pattern = "14",
}

tile{
  layer = 0,
  x = 208,
  y = 144,
  width = 16,
  height = 16,
  pattern = "14",
}

tile{
  layer = 0,
  x = 8,
  y = 192,
  width = 32,
  height = 8,
  pattern = "464",
}

tile{
  layer = 0,
  x = 8,
  y = 160,
  width = 16,
  height = 8,
  pattern = "36",
}

tile{
  layer = 0,
  x = 280,
  y = 72,
  width = 16,
  height = 8,
  pattern = "36",
}

tile{
  layer = 0,
  x = 48,
  y = 72,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 48,
  y = 8,
  width = 16,
  height = 16,
  pattern = "43",
}

tile{
  layer = 0,
  x = 184,
  y = 64,
  width = 16,
  height = 16,
  pattern = "37",
}

tile{
  layer = 0,
  x = 24,
  y = 336,
  width = 16,
  height = 16,
  pattern = "37",
}

tile{
  layer = 0,
  x = 232,
  y = 336,
  width = 16,
  height = 8,
  pattern = "36",
}

tile{
  layer = 0,
  x = 216,
  y = 416,
  width = 16,
  height = 8,
  pattern = "36",
}

tile{
  layer = 0,
  x = 152,
  y = 424,
  width = 16,
  height = 8,
  pattern = "36",
}

tile{
  layer = 0,
  x = 72,
  y = 80,
  width = 32,
  height = 24,
  pattern = "9",
}

tile{
  layer = 0,
  x = 136,
  y = 144,
  width = 72,
  height = 32,
  pattern = "9",
}

tile{
  layer = 0,
  x = 136,
  y = 168,
  width = 16,
  height = 16,
  pattern = "551",
}

tile{
  layer = 0,
  x = 16,
  y = 368,
  width = 128,
  height = 16,
  pattern = "722",
}

tile{
  layer = 0,
  x = 88,
  y = 336,
  width = 16,
  height = 16,
  pattern = "761",
}

tile{
  layer = 0,
  x = 88,
  y = 336,
  width = 16,
  height = 16,
  pattern = "761",
}

tile{
  layer = 0,
  x = 88,
  y = 344,
  width = 8,
  height = 80,
  pattern = "766",
}

tile{
  layer = 0,
  x = 56,
  y = 400,
  width = 16,
  height = 16,
  pattern = "759",
}

tile{
  layer = 0,
  x = 64,
  y = 320,
  width = 8,
  height = 88,
  pattern = "765",
}

tile{
  layer = 0,
  x = 72,
  y = 336,
  width = 16,
  height = 96,
  pattern = "9",
}

tile{
  layer = 0,
  x = 176,
  y = 176,
  width = 16,
  height = 16,
  pattern = "552",
}

tile{
  layer = 0,
  x = 144,
  y = 176,
  width = 16,
  height = 16,
  pattern = "551",
}

tile{
  layer = 0,
  x = 192,
  y = 176,
  width = 16,
  height = 16,
  pattern = "761",
}

tile{
  layer = 0,
  x = 128,
  y = 176,
  width = 16,
  height = 16,
  pattern = "762",
}

tile{
  layer = 0,
  x = 184,
  y = 184,
  width = 16,
  height = 16,
  pattern = "761",
}

tile{
  layer = 0,
  x = 136,
  y = 184,
  width = 16,
  height = 16,
  pattern = "762",
}

tile{
  layer = 0,
  x = 176,
  y = 192,
  width = 16,
  height = 16,
  pattern = "761",
}

tile{
  layer = 0,
  x = 144,
  y = 192,
  width = 16,
  height = 16,
  pattern = "762",
}

tile{
  layer = 0,
  x = 200,
  y = 184,
  width = 16,
  height = 16,
  pattern = "271",
}

tile{
  layer = 0,
  x = 120,
  y = 184,
  width = 16,
  height = 16,
  pattern = "272",
}

tile{
  layer = 0,
  x = 184,
  y = 200,
  width = 16,
  height = 16,
  pattern = "271",
}

tile{
  layer = 0,
  x = 136,
  y = 200,
  width = 16,
  height = 16,
  pattern = "272",
}

tile{
  layer = 0,
  x = 120,
  y = 304,
  width = 104,
  height = 48,
  pattern = "9",
}

tile{
  layer = 0,
  x = 120,
  y = 344,
  width = 96,
  height = 8,
  pattern = "764",
}

tile{
  layer = 0,
  x = 216,
  y = 312,
  width = 8,
  height = 32,
  pattern = "766",
}

tile{
  layer = 0,
  x = 120,
  y = 304,
  width = 96,
  height = 8,
  pattern = "763",
}

tile{
  layer = 0,
  x = 208,
  y = 304,
  width = 16,
  height = 16,
  pattern = "760",
}

tile{
  layer = 0,
  x = 208,
  y = 336,
  width = 16,
  height = 16,
  pattern = "761",
}

tile{
  layer = 0,
  x = 192,
  y = 208,
  width = 16,
  height = 16,
  pattern = "187",
}

tile{
  layer = 0,
  x = 128,
  y = 208,
  width = 16,
  height = 16,
  pattern = "185",
}

tile{
  layer = 0,
  x = 128,
  y = 216,
  width = 16,
  height = 24,
  pattern = "566",
}

tile{
  layer = 0,
  x = 192,
  y = 216,
  width = 16,
  height = 24,
  pattern = "568",
}

tile{
  layer = 0,
  x = 144,
  y = 232,
  width = 48,
  height = 16,
  pattern = "567",
}

tile{
  layer = 0,
  x = 144,
  y = 216,
  width = 48,
  height = 8,
  pattern = "194",
}

tile{
  layer = 0,
  x = 208,
  y = 184,
  width = 64,
  height = 8,
  pattern = "259",
}

tile{
  layer = 0,
  x = 208,
  y = 192,
  width = 64,
  height = 8,
  pattern = "265",
}

tile{
  layer = 0,
  x = 208,
  y = 200,
  width = 112,
  height = 8,
  pattern = "194",
}

tile{
  layer = 0,
  x = 160,
  y = 320,
  width = 16,
  height = 16,
  pattern = "779",
}

tile{
  layer = 0,
  x = 144,
  y = 328,
  width = 16,
  height = 16,
  pattern = "551",
}

tile{
  layer = 0,
  x = 176,
  y = 328,
  width = 16,
  height = 16,
  pattern = "552",
}

tile{
  layer = 0,
  x = 144,
